                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     32,                0.95944,                 4.6972,                 0.3254,                 1.3654,                 1.1393,                 0.6281,                0.49225,                 0.5454,                0.41274,                0.54823,                 0.3902,                0.39155,                0.08385,                 0.8834,                 4.6707,                0.15991,                 1.1448,                 1.1038,               0.003862,               0.003862,               0.003862
                     33,                0.95085,                 4.6713,                0.32353,                 1.3405,                 1.1377,                  0.597,                0.50162,                0.55195,                0.41666,                0.50914,                0.42018,                0.41016,                0.08535,                0.88061,                 4.6779,                  0.159,                 1.1383,                  1.098,               0.003664,               0.003664,               0.003664
                     34,                 0.9413,                 4.6548,                0.32279,                 1.3179,                  1.128,                 0.5657,                0.52854,                0.55881,                0.42624,                0.48544,                0.44057,                0.41924,                 0.0875,                0.86022,                 4.6446,                0.15941,                  1.121,                 1.0882,               0.003466,               0.003466,               0.003466
                     35,                0.93065,                 4.6249,                0.32318,                 1.2893,                 1.1282,                0.56905,                0.54107,                0.56357,                0.43011,                 0.5276,                0.42495,                0.42769,                0.09076,                0.86156,                 4.6416,                0.15874,                 1.1231,                 1.0889,               0.003268,               0.003268,               0.003268
                     36,                 0.9208,                 4.5915,                0.31989,                 1.2738,                 1.1206,                0.59133,                0.53702,                0.57354,                0.43726,                0.49944,                0.44813,                0.42462,                0.08823,                0.86586,                 4.6605,                0.15823,                 1.1064,                 1.0901,                0.00307,                0.00307,                0.00307
                     37,                0.91288,                 4.5969,                0.32345,                 1.2481,                 1.1197,                 0.6156,                0.50323,                0.57148,                0.43689,                0.53286,                0.42465,                0.43274,                0.09469,                0.84926,                 4.6119,                0.15858,                 1.0988,                  1.081,               0.002872,               0.002872,               0.002872
                     38,                0.90933,                 4.5691,                 0.3183,                 1.2315,                 1.1177,                0.58483,                0.53642,                0.57114,                0.43518,                0.51095,                0.45001,                0.43147,                0.09347,                0.84355,                 4.6176,                0.15844,                 1.0854,                 1.0844,               0.002674,               0.002674,               0.002674
                     39,                 0.8914,                 4.5299,                0.31647,                 1.2188,                 1.1062,                0.58872,                0.52395,                 0.5783,                0.44193,                0.53729,                0.41692,                0.43488,                0.09488,                0.84957,                 4.6071,                0.15776,                 1.0835,                 1.0815,               0.002476,               0.002476,               0.002476
                     40,                0.87857,                 4.5079,                0.32103,                 1.1929,                 1.1054,                0.60046,                0.53291,                0.57924,                0.44556,                0.51973,                0.45019,                0.43755,                0.09445,                0.84347,                 4.6049,                0.15772,                 1.0833,                 1.0793,               0.002278,               0.002278,               0.002278
                     41,                0.76701,                 4.3713,                0.17348,                0.89624,                 1.0571,                0.67376,                0.52426,                0.59034,                0.45517,                0.58721,                0.44334,                0.45079,                0.09689,                0.84462,                 4.5986,                0.15626,                 1.0672,                 1.0806,                0.00208,                0.00208,                0.00208
                     42,                0.74686,                 4.3368,                0.17129,                 0.8485,                 1.0472,                0.64579,                0.53945,                0.60157,                0.46458,                 0.5573,                0.46304,                0.46634,                0.10353,                0.83908,                 4.5745,                0.15552,                 1.0614,                 1.0764,               0.001882,               0.001882,               0.001882
                     43,                0.72585,                 4.3078,                0.16944,                0.79823,                  1.037,                0.61078,                0.57254,                0.59964,                0.46411,                0.53004,                0.48684,                0.45977,                0.10274,                0.83482,                 4.5797,                0.15477,                 1.0568,                  1.074,               0.001684,               0.001684,               0.001684
                     44,                0.71221,                 4.2889,                0.16963,                0.77839,                 1.0243,                0.66134,                0.54456,                0.60712,                0.47168,                0.58655,                0.46316,                0.47168,                0.10246,                0.83004,                 4.5894,                0.15428,                  1.051,                 1.0734,               0.001486,               0.001486,               0.001486
                     45,                0.69507,                 4.2545,                0.16693,                0.73628,                  1.017,                0.63834,                0.56492,                0.60692,                0.46897,                0.56724,                0.47574,                0.47608,                0.10466,                0.82829,                 4.5759,                0.15341,                 1.0492,                  1.071,               0.001288,               0.001288,               0.001288
                     46,                0.67991,                 4.2337,                0.16801,                0.71281,                 1.0053,                 0.6614,                0.53721,                 0.6042,                0.46792,                0.60585,                0.45129,                0.47526,                0.10497,                0.82539,                 4.5708,                0.15329,                 1.0565,                 1.0708,                0.00109,                0.00109,                0.00109
                     47,                0.66373,                 4.2229,                  0.165,                0.68964,                0.99963,                0.68231,                0.51611,                0.60619,                0.47056,                0.59607,                0.44357,                0.47593,                0.10774,                0.82359,                 4.5463,                0.15292,                 1.0553,                  1.071,               0.000892,               0.000892,               0.000892
                     48,                 0.6545,                 4.2063,                0.16516,                  0.664,                0.99498,                0.63179,                 0.5555,                0.60294,                0.46802,                0.55375,                0.47487,                0.47351,                 0.1093,                0.82494,                 4.5317,                0.15245,                 1.0643,                 1.0734,               0.000694,               0.000694,               0.000694
                     49,                0.64314,                 4.1796,                0.16408,                0.63933,                0.98532,                0.65985,                0.53092,                0.60621,                0.47007,                0.58783,                0.45219,                0.47235,                0.11066,                0.82276,                 4.5245,                 0.1521,                 1.0644,                 1.0744,               0.000496,               0.000496,               0.000496
                     50,                0.62954,                 4.1671,                0.16529,                 0.6236,                0.98152,                0.67508,                0.52564,                0.60645,                0.47136,                0.60967,                0.44439,                0.47626,                0.11346,                0.82055,                 4.5143,                0.15152,                 1.0645,                 1.0732,               0.000298,               0.000298,               0.000298
